Grapheme	Zhou	Baxter
ĭĕ	ĭĕ	i
ĭɛ	ĭɛ	e
ĭu	ĭu	uw
ĭo	ĭo	o
ĭə	ĭə	?
n	n	n
k	k	k
ŋ	ŋ	ng
t	t	t
m	m	m
p	p	p
æn	æ-n	ea-n
uk	u-k	uw-k
əŋ	ə-ŋ	i-ng
ĕt	ĕ-t	i-t
eŋ	e-ŋ	e-ng
aŋ	a-ŋ	a-ng
ɑm	ɑ-m	a-m
ɐŋ	ɐ-ŋ	æ-ng
uŋ	u-ŋ	uw-ng
ɑn	ɑ-n	a-n
ɐp	ɐ-p	o-p
ət	ə-t	o-t
ɛn	ɛ-n	e-n
uən	uə-n	u-n
ɛk	ɛ-k	e-k
ĕn	ĕ-n	i-n
ĕm	ĕ-m	i-m
ɛŋ	ɛ-ŋ	e-ng
ɐt	ɐ-t	o-t
ɐk	ɐ-k	æ-k
en	e-n	e-n
ɑk	ɑ-k	a-k
ɑŋ	ɑ-ŋ	a-ng
ɐn	ɐ-n	o-n
ək	ə-k	i-k
ɛm	ɛ-m	e-m
ĕp	ĕ-p	i-p
æt	æ-t	ɛ-t
em	e-m	e-m
oŋ	o-ŋ	ow-ng
ɐm	ɐ-m	o-m
ɛt	ɛ-t	e-t
at	a-t	æ-t
ɑt	ɑ-t	a-t
ak	a-k	a-k
uət	uə-t	u-t
ɔk	ɔ-k	æw-k
ɒm	ɒ-m	o-m
æk	æ-k	ɛ-k
ɒp	ɒ-p	o-p
ən	ə-n	o-n
ien	ie-n	e-n
an	a-n	æ-n
ɔŋ	ɔ-ŋ	æw-ng
æŋ	æ-ŋ	ea-ng
ek	e-k	e-k
et	e-t	e-t
ɛp	ɛ-p	e-p
ep	e-p	e-p
ok	o-k	ow-k
am	a-m	æ-m
ĭĕn	ĭĕ-n	i-n
ĭɛn	ĭɛ-n	e-n
ap	a-p	æ-p
ɑp	ɑ-p	a-p
ĭuŋ	ĭu-ŋ	uw-ng
ĭuk	ĭ-u-k	j-uw-k
ĭĕt	ĭ-ĕ-t	.-i-t
ieŋ	i-e-ŋ	.-e-ng
ĭaŋ	ĭ-a-ŋ	j-a-ng
ĭəu	ĭ-əu-.	j-uw-.
ĭɐŋ	ĭ-ɐ-ŋ	j-æ-ng
uɑn	u-ɑ-n	w-a-n
ĭwɐp	ĭw-ɐ-p	j-o-p
wɐi	w-ɐi-.	w-ɛj-.
ĭət	ĭ-ə-t	j-ɨ-t
ĭa	ĭ-a-.	.-æ-.
ĭuən	ĭ-uə-n	j-u-n
ĭwaŋ	ĭw-a-ŋ	j-a-ng
ĭɛk	ĭ-ɛ-k	.-e-k
ĭĕm	ĭ-ĕ-m	.-i-m
ĭəŋ	ĭ-ə-ŋ	.-i-ng
ĭɛŋ	ĭ-ɛ-ŋ	.-e-ng
ĭwɐt	ĭw-ɐ-t	jw-o-t
wi	w-i-.	w-ij-.
uɒi	u-ɒi-.	w-oj-.
ĭe	ĭ-e-.	j-e-.
ĭəi	ĭ-əi-.	j-ɨj-.
ĭuĕn	ĭu-ĕ-n	w-i-n
ĭɐn	ĭ-ɐ-n	j-o-n
ĭək	ĭ-ə-k	.-i-k
ĭwɛŋ	ĭw-ɛ-ŋ	jwi-e-ng
ĭɛm	ĭ-ɛ-m	j-e-m
ĭwɐn	ĭw-ɐ-n	jw-o-n
ĭɛu	ĭ-ɛu-.	j-ew-.
uɑŋ	u-ɑ-ŋ	w-a-ng
ĭĕp	ĭ-ĕ-p	.-i-p
ĭwɛn	ĭw-ɛ-n	jw-e-n
iei	i-ei-.	.-ej-.
iem	i-e-m	.-e-m
ĭwoŋ	ĭw-o-ŋ	j-ow-ng
uoŋ	u-o-ŋ	.-ow-ng
ĭwɐm	ĭw-ɐ-m	j-o-m
ĭɛt	ĭ-ɛ-t	j-e-t
wat	w-a-t	w-æ-t
ĭɛi	ĭ-ɛi-.	ji-ej-.
ĭɐp	ĭ-ɐ-p	j-æ-p
ĭak	ĭ-a-k	j-a-k
ĭuət	ĭ-uə-t	j-u-t
wa	w-a-.	w-æ-.
ĭwəi	ĭw-əi-.	j-ɨj-.
uɑk	u-ɑ-k	w-a-k
wai	w-ai-.	w-ɛ-.
ĭwe	ĭw-e-.	jw-e-.
ieu	i-eu-.	.-ew-.
ĭwɐi	ĭw-ɐi-.	j-oj-.
uɑ	u-ɑ-.	w-a-.
ĭɐm	ĭ-ɐ-m	j-æ-m
uək	u-ə-k	w-i-k
iwei	iw-ei-.	w-ej-.
uɑi	u-ɑi-.	w-aj-.
