ID	TYPE	CONCEPT	DOCULECT	TOKENS	COGID	FORM	NOTE	ALIGNMENT
279	0 xia	垢 (xia)	Zhou	. əu . ˥	140	pəu˥ / dʒʰəu˥	?	. əu . ˥
280	0 xia	垢 (xia)	Baxter	. !? . .	140	pəu˥ / dʒʰəu˥	?	. !? . .
281	0 xia	增 (xia)	Zhou	. ə ŋ ˥˩	141	səŋ˥˩	?	. ə ŋ ˥˩
282	0 xia	增 (xia)	Baxter	. !? ng X	141	səŋ˥˩	?	. !? ng X
283	0 xia	墾 (xia)	Zhou	. ə n ˥	142	ɣən˥	?	. ə n ˥
284	0 xia	墾 (xia)	Baxter	. !? n .	142	ɣən˥	?	. !? n .
285	0 xia	壘 (xia)	Zhou	w i . ˥	143	nʑwi˥	?	w i . ˥
286	0 xia	壘 (xia)	Baxter	w !? . .	143	nʑwi˥	?	w !? . .
287	0 xia	夥 (xia)	Zhou	w ai . ˥	144	xwai˥ / ɖʰwai˥	?	w ai . ˥
288	0 xia	夥 (xia)	Baxter	w !? . .	144	xwai˥ / ɖʰwai˥	?	w !? . .
289	0 xia	奉 (xia)	Zhou	ĭw o ŋ ˥	145	pʰĭwoŋ˥	?	ĭw o ŋ ˥
290	0 xia	奉 (xia)	Baxter	j !? ng .	145	pʰĭwoŋ˥	?	j !? ng .
291	0 xia	姦 (xia)	Zhou	. a n ˥˩	146	ʃan˥˩ / ŋan˩ / kʰan˥˩	?	. a n ˥˩
292	0 xia	姦 (xia)	Baxter	. a n X	146	ʃan˥˩ / ŋan˩ / kʰan˥˩	?	. a n X
293	0 xia	婁 (xia)	Zhou	. əu . ˩	147	ŋəu˩	?	. əu . ˩
294	0 xia	婁 (xia)	Baxter	. !? . X	147	ŋəu˩	?	. !? . X
295	0 xia	宂 (xia)	Zhou	ĭw o ŋ ˥	148	ʑĭwoŋ˥	?	ĭw o ŋ ˥
296	0 xia	宂 (xia)	Baxter	jw !? ng .	148	ʑĭwoŋ˥	?	jw !? ng .
297	0 xia	宏 (xia)	Zhou	w æ ŋ ˥˩	149	xwæŋ˥˩ / ʔwæŋ˥˩	?	w æ ŋ ˥˩
298	0 xia	宏 (xia)	Baxter	w !? ng X	149	xwæŋ˥˩ / ʔwæŋ˥˩	?	w !? ng X
299	0 xia	宫 (xia)	Zhou	ĭ u ŋ ˥˩	150	kʰĭuŋ˥˩	?	ĭ u ŋ ˥˩
300	0 xia	宫 (xia)	Baxter	j !? ng X	150	kʰĭuŋ˥˩	?	j !? ng X
301	0 xia	宿 (xia)	Zhou	ĭ u k .	151	tsʰĭuk	?	ĭ u k .
302	0 xia	宿 (xia)	Baxter	j !? k .	151	tsʰĭuk	?	j !? k .
303	0 xia	山 (xia)	Zhou	. æ n ˩	152	dʒʰæn˩ / ţæn˥˩ / tɕʰæn˥˩	?	. æ n ˩
304	0 xia	山 (xia)	Baxter	. !? n X	152	dʒʰæn˩ / ţæn˥˩ / tɕʰæn˥˩	?	. !? n X
305	0 xia	峴 (xia)	Zhou	i e n ˥	153	ŋien˥	?	i e n ˥
306	0 xia	峴 (xia)	Baxter	j !? n .	153	ŋien˥	?	j !? n .
307	0 xia	峻 (xia)	Zhou	ĭu ĕ n ˩˥	154	tsĭuĕn˩˥ / kĭuĕn˩˥	?	ĭu ĕ n ˩˥
308	0 xia	峻 (xia)	Baxter	jw !? n .	154	tsĭuĕn˩˥ / kĭuĕn˩˥	?	jw !? n .
309	0 xia	巴 (xia)	Zhou	. a . ˥˩	155	pʰa˥˩ / bʰa˩	?	. a . ˥˩
310	0 xia	巴 (xia)	Baxter	. a . X	155	pʰa˥˩ / bʰa˩	?	. a . X
311	0 xia	帶 (xia)	Zhou	. ɑi . ˩˥	156	nɑi˩˥	?	. ɑi . ˩˥
312	0 xia	帶 (xia)	Baxter	. !? . .	156	nɑi˩˥	?	. !? . .
313	0 xia	幺 (xia)	Zhou	i eu . ˥˩	157	xieu˥˩ / kʰieu˥˩	?	i eu . ˥˩
314	0 xia	幺 (xia)	Baxter	j !? . X	157	xieu˥˩ / kʰieu˥˩	?	j !? . X
