ID	TYPE	CONCEPT	DOCULECT	TOKENS	COGID	FORM	NOTE	ALIGNMENT
71	0 shang	崇 (shang)	Zhou	dʒʰ i	36	dʒʰien˩	?	dʒʰ i
72	0 shang	崇 (shang)	Baxter	dzy .	36	dʒʰien˩	?	dzy .
73	0 shang	巴 (shang)	Zhou	p .	37	pɔŋ˥	?	p .
74	0 shang	巴 (shang)	Baxter	p .	37	pɔŋ˥	?	p .
75	0 shang	干 (shang)	Zhou	tsʰ .	38	tsʰuŋ˩˥	?	tsʰ .
76	0 shang	干 (shang)	Baxter	tsh .	38	tsʰuŋ˩˥	?	tsh .
77	0 shang	并 (shang)	Zhou	p ĭ	39	pĭe˥ / pĭɛt	?	p ĭ
78	0 shang	并 (shang)	Baxter	p j	39	pĭe˥ / pĭɛt	?	p j
79	0 shang	弼 (shang)	Zhou	bʰ ĭ	40	bʰĭɐk	?	bʰ ĭ
80	0 shang	弼 (shang)	Baxter	b j	40	bʰĭɐk	?	b j
81	0 shang	徵 (shang)	Zhou	ţ ĭu	41	ţĭuĕt	?	ţ ĭu
82	0 shang	徵 (shang)	Baxter	tr w	41	ţĭuĕt	?	tr w
83	0 shang	恪 (shang)	Zhou	kʰ .	42	kʰæt / kʰəu˥˩	?	kʰ .
84	0 shang	恪 (shang)	Baxter	kh .	42	kʰæt / kʰəu˥˩	?	kh .
85	0 shang	恱 (shang)	Zhou	j ĭw	43	jĭwe˩	?	j ĭw
86	0 shang	恱 (shang)	Baxter	j w	43	jĭwe˩	?	j w
87	0 shang	愛 (shang)	Zhou	ʔ .	44	ʔək	?	ʔ .
88	0 shang	愛 (shang)	Baxter	' .	44	ʔək	?	' .
89	0 shang	憂 (shang)	Zhou	ʔ ĭw	45	ʔĭwak	?	ʔ ĭw
90	0 shang	憂 (shang)	Baxter	' jw	45	ʔĭwak	?	' jw
91	0 shang	懷 (shang)	Zhou	ɣ w	46	ɣwai˥	?	ɣ w
92	0 shang	懷 (shang)	Baxter	h w	46	ɣwai˥	?	h w
93	0 shang	成 (shang)	Zhou	ʑ i	47	ʑiei˩	?	ʑ i
94	0 shang	成 (shang)	Baxter	zy .	47	ʑiei˩	?	zy .
95	0 shang	拂 (shang)	Zhou	pʰ ĭw	48	pʰĭwɐt	?	pʰ ĭw
96	0 shang	拂 (shang)	Baxter	ph j	48	pʰĭwɐt	?	ph j
97	0 shang	拏 (shang)	Zhou	ɳ .	49	ɳɐŋ˥	?	ɳ .
98	0 shang	拏 (shang)	Baxter	ny .	49	ɳɐŋ˥	?	ny .
99	0 shang	捕 (shang)	Zhou	bʰ u	50	bʰuɑ˥	?	bʰ u
100	0 shang	捕 (shang)	Baxter	b .	50	bʰuɑ˥	?	b .
101	0 shang	握 (shang)	Zhou	ʔ .	51	ʔɔŋ˥˩	?	ʔ .
102	0 shang	握 (shang)	Baxter	' .	51	ʔɔŋ˥˩	?	' .
103	0 shang	擬 (shang)	Zhou	ŋ .	52	ŋɐi˩	?	ŋ .
104	0 shang	擬 (shang)	Baxter	ng .	52	ŋɐi˩	?	ng .
105	0 shang	晡 (shang)	Zhou	p .	53	pæn˩˥	?	p .
106	0 shang	晡 (shang)	Baxter	p .	53	pæn˩˥	?	p .
107	0 shang	曁 (shang)	Zhou	gʰ w	54	gʰwi˥ / gʰi˥	?	gʰ w
108	0 shang	曁 (shang)	Baxter	g w	54	gʰwi˥ / gʰi˥	?	g w
109	0 shang	曲 (shang)	Zhou	kʰ ĭw	55	kʰĭwoŋ˥˩	?	kʰ ĭw
110	0 shang	曲 (shang)	Baxter	kh jw	55	kʰĭwoŋ˥˩	?	kh jw
111	0 shang	查 (shang)	Zhou	dʒʰ .	56	dʒʰat / dʒʰwæk	?	dʒʰ .
112	0 shang	查 (shang)	Baxter	dzy .	56	dʒʰat / dʒʰwæk	?	dzy .
113	0 shang	楮 (shang)	Zhou	ţʰ .	57	ţʰi˥	?	ţʰ .
114	0 shang	楮 (shang)	Baxter	trh .	57	ţʰi˥	?	trh .
115	0 shang	楷 (shang)	Zhou	kʰ .	58	kʰæk	?	kʰ .
116	0 shang	楷 (shang)	Baxter	kh .	58	kʰæk	?	kh .
117	0 shang	模 (shang)	Zhou	m .	59	mɑŋ˥ / muən˥	?	m .
118	0 shang	模 (shang)	Baxter	m .	59	mɑŋ˥ / muən˥	?	m .
119	0 shang	比 (shang)	Zhou	p .	60	pæŋ˩˥	?	p .
120	0 shang	比 (shang)	Baxter	p .	60	pæŋ˩˥	?	p .
121	0 shang	沙 (shang)	Zhou	ʃ w	61	ʃwa˥	?	ʃ w
122	0 shang	沙 (shang)	Baxter	!? w	61	ʃwa˥	?	!? w
123	0 shang	浮 (shang)	Zhou	bʰ ĭw	62	bʰĭwəi˥	?	bʰ ĭw
124	0 shang	浮 (shang)	Baxter	b j	62	bʰĭwəi˥	?	b j
125	0 shang	漸 (shang)	Zhou	dzʰ i	63	dzʰiem˩˥	?	dzʰ i
126	0 shang	漸 (shang)	Baxter	dz j	63	dzʰiem˩˥	?	dz j
127	0 shang	烟 (shang)	Zhou	ʔ i	64	ʔieŋ˥	?	ʔ i
128	0 shang	烟 (shang)	Baxter	' j	64	ʔieŋ˥	?	' j
129	0 shang	父 (shang)	Zhou	bʰ .	65	bʰəŋ˩˥	?	bʰ .
130	0 shang	父 (shang)	Baxter	b .	65	bʰəŋ˩˥	?	b .
131	0 shang	牽 (shang)	Zhou	kʰ i	66	kʰien˥	?	kʰ i
132	0 shang	牽 (shang)	Baxter	kh j	66	kʰien˥	?	kh j
133	0 shang	犲 (shang)	Zhou	dʒʰ .	67	dʒʰæi˩˥	?	dʒʰ .
